token,first_count,last_count,log_odds_last_minus_first
scientific,0,7,2.794785
wolf,0,6,2.649477
food,0,4,2.277352
waited,0,4,2.277352
strength,0,4,2.277352
would,0,3,2.023844
breath,0,3,2.023844
hardtack,0,3,2.023844
whale,0,3,2.023844
could,0,3,2.023844
some,0,3,2.023844
hour,0,2,1.685184
closed,0,2,1.685184
half,0,2,1.685184
alone,0,2,1.685184
sailors,0,2,1.685184
bedford,0,2,1.685184
wheezing,0,2,1.685184
forced,0,2,1.685184
sane,0,2,1.685184
ship,0,2,1.685184
throat,0,2,1.685184
grinned,0,2,1.685184
later,0,2,1.685184
feed,0,2,1.685184
hear,0,2,1.685184
day,0,2,1.685184
pressed,0,2,1.685184
harsh,0,2,1.685184
man's,0,2,1.685184
see,0,2,1.685184
along,0,2,1.685184
after,0,2,1.685184
bunk,0,2,1.685184
saw,0,2,1.685184
feebly,0,2,1.685184
closer,0,2,1.685184
yet,0,2,1.685184
clutched,0,2,1.685184
sailor,0,2,1.685184
