window,words,civ_hits,bio_hits,civ_per_1k,bio_per_1k,shift,avg_sentence_len,avg_paragraph_len
0,830,8,5,9.639,6.024,-3.614,15.28,82.16
1,830,14,5,16.867,6.024,-10.843,15.28,82.16
2,830,14,12,16.867,14.458,-2.410,15.28,82.16
3,830,11,4,13.253,4.819,-8.434,15.28,82.16
4,830,12,18,14.458,21.687,7.229,15.28,82.16
5,830,17,9,20.482,10.843,-9.639,15.28,82.16
6,830,5,14,6.024,16.867,10.843,15.28,82.16
7,830,9,16,10.843,19.277,8.434,15.28,82.16
8,830,3,24,3.614,28.916,25.301,15.28,82.16
9,828,3,8,3.623,9.662,6.039,15.28,82.16
